id,created_at,url,concepts,assets,timeframes,has_media,likes,retweets,views,text
2039930600019087582,Fri Apr 03 04:58:49 +0000 2026,https://x.com/Efloud/status/2039930600019087582,,,,False,48,0,4749,@3kurusluktrader Günaydin brom. Erkenciyiz 🤝
2039944640283975841,Fri Apr 03 05:54:37 +0000 2026,https://x.com/Efloud/status/2039944640283975841,,,,False,11,0,811,@Jhonnycoinz @3kurusluktrader 🫂
2039970586890268870,Fri Apr 03 07:37:43 +0000 2026,https://x.com/Efloud/status/2039970586890268870,,,,False,28,0,822,@the_erolk @3kurusluktrader Var abi birkaç dolandirici yavsak. Ancak onlarin sevmemesi gururdur benim icin
2039993075867566186,Fri Apr 03 09:07:05 +0000 2026,https://x.com/Efloud/status/2039993075867566186,,,,True,703,10,99688,"Have a blessed Friday.
Hayırlı cumalar 🤝🏼 https://t.co/1YFbWkqaqv"
2040000080397095020,Fri Apr 03 09:34:55 +0000 2026,https://x.com/Efloud/status/2040000080397095020,,,,False,24,0,1426,"@0xKatsuyusama Sen niye dertlendin, low iq + estrogen?"
2040006882639692040,Fri Apr 03 10:01:56 +0000 2026,https://x.com/Efloud/status/2040006882639692040,,,,False,20,0,875,@mustafa00698654 @0xKatsuyusama Sana ne la velet?
2040017950279676240,Fri Apr 03 10:45:55 +0000 2026,https://x.com/Efloud/status/2040017950279676240,,,,False,12,0,580,"Brom senlik mevzu yok. Hasta vs gibi garip gurup bi mesaj yazinca ben de o minvalde cevap attim. Diger mesaj yazan tipitip tescilli low iq, ona ithafen belirtmistim ki uzerine alinip paragraf yazip engel atmis. Bosver bi gereksiz icin senle de gerilmeyelim. Onun yanik gotu farkli sebepten. Kolay gelsin isinde gucunde 🤝"
2040018890206449761,Fri Apr 03 10:49:39 +0000 2026,https://x.com/Efloud/status/2040018890206449761,,,,False,175,2,11592,"Arkadaslar bu ss’deki benim demiyorum, bu mesaji gören tüm alpha male biraderlerimdir diyorum.

Bir nevi motivasyon, gaz şekli. Gelip de post’um altında ağlamayın.

Hahaha bu post’u bile low iq idiotlara açıklamak zorunda kaldık, hey allahim 😁

Herkese kolayliklar, şimdiden harika hafta sonu dilerim 🤝🏼"
2040019071664628031,Fri Apr 03 10:50:23 +0000 2026,https://x.com/Efloud/status/2040019071664628031,,,,False,24,0,2063,@berkekrcm Bu post’u goren tum male aplha biraderlerim oradaki kirmizi yuvarlak kisidir 😁🤝
2040019480496009383,Fri Apr 03 10:52:00 +0000 2026,https://x.com/Efloud/status/2040019480496009383,supply_demand|range_regime|risk_psychology,,,False,139,0,2635,"@bit_osfer Bu serideki en faydali akis semalarindan bir tanesi. Psikoloji, range trade, confirmation.. ne ararsan var. Normalde sunu cektim, bunu yaptim cok iyidir demek istemem ama bu video onem arz ediyor gercekten. Herkese bos vaktinde izlemesini oneriyorum 🤝"
